date,bucket,prob,marketPrice,hit
2026-08-02,24,0.0424,,0
2026-08-02,25,0.2355,,0
2026-08-02,26,0.4228,,1
2026-08-02,27,0.2473,,0
2026-08-02,28,0.0467,,0
2026-08-03,25,0.0830,,
2026-08-03,26,0.3442,,
2026-08-03,27,0.4110,,
2026-08-03,28,0.1419,,
2026-08-04,27,0.0768,,
2026-08-04,28,0.2828,,
2026-08-04,29,0.3894,,
2026-08-04,30,0.2013,,
2026-08-04,31,0.0388,,
2026-08-05,28,0.0295,,0
2026-08-05,29,0.2201,,0
2026-08-05,30,0.4507,,0
2026-08-05,31,0.2567,,0
2026-08-05,32,0.0402,,0
2026-08-06,29,0.0551,,0
2026-08-06,30,0.2864,,0
2026-08-06,31,0.4348,,0
2026-08-06,32,0.1944,,0
2026-08-06,33,0.0252,,0
2026-08-07,31,0.2599,,0
2026-08-07,32,0.5382,,0
2026-08-07,33,0.1746,,1
2026-08-08,32,0.0829,,0
2026-08-08,33,0.2380,,0
2026-08-08,34,0.3359,,1
2026-08-08,35,0.2335,,0
2026-08-08,36,0.0798,,0
2026-08-09,32,0.0324,,0
2026-08-09,33,0.1112,,0
2026-08-09,34,0.2293,,0
2026-08-09,35,0.2841,,0
2026-08-09,36,0.2117,,1
2026-08-09,37,0.0949,,0
2026-08-09,38,0.0255,,0
2026-08-10,32,0.0683,,0
2026-08-10,33,0.1837,,0
2026-08-10,34,0.2865,,0
2026-08-10,35,0.2593,,1
2026-08-10,36,0.1361,,0
2026-08-10,37,0.0414,,0
2026-08-11,32,0.1500,,0
2026-08-11,33,0.4746,,0
2026-08-11,34,0.3193,,0
2026-08-11,35,0.0450,,1
2026-08-12,32,0.2701,,0
2026-08-12,33,0.6008,,0
2026-08-12,34,0.1180,,1
2026-08-13,31,0.5747,,0
2026-08-13,32,0.4129,,0
2026-08-14,27,0.0353,,0
2026-08-14,28,0.2228,,0
2026-08-14,29,0.4314,,0
2026-08-14,30,0.2586,,1
2026-08-14,31,0.0476,,0
2026-08-15,28,0.0458,,
2026-08-15,29,0.1513,,
2026-08-15,30,0.2788,,
2026-08-15,31,0.2870,,
2026-08-15,32,0.1651,,
2026-08-15,33,0.0530,,
