recordTime,current,todayMax,todayMin
2026-07-05T20:50:00+08:00,30,33,27.7
2026-07-05T22:40:00+08:00,29.8,33,27.7
2026-07-05T23:40:00+08:00,29.7,33,27.7
2026-07-06T00:50:00+08:00,29.7,29.7,29.6
2026-07-06T02:00:00+08:00,29.5,29.7,29.5
2026-07-06T03:30:00+08:00,28.4,29.7,28.3
2026-07-06T04:30:00+08:00,28.6,29.7,28.3
2026-07-06T05:30:00+08:00,28.8,29.7,28.3
2026-07-06T06:20:00+08:00,28.8,29.7,28.3
2026-07-06T07:30:00+08:00,27.3,29.7,27.3
2026-07-06T09:10:00+08:00,28.5,29.7,27.3
2026-07-06T13:30:00+08:00,30.9,31.4,27.3
2026-07-06T17:30:00+08:00,30.3,31.6,27.3
2026-07-06T21:20:00+08:00,25.9,31.6,25.9
2026-07-07T00:20:00+08:00,26,26,25.9
2026-07-07T02:20:00+08:00,27,27,25.9
2026-07-07T04:10:00+08:00,27.3,27.6,25.9
2026-07-07T05:40:00+08:00,26.4,28,25.9
2026-07-07T06:40:00+08:00,26.1,28,25.8
2026-07-07T07:40:00+08:00,26.5,28,25.8
