seenAt,recordTime,value
2026-09-07T05:52:19.258Z,2026-09-07T13:00:00+08:00,29
2026-09-07T10:46:05.995Z,2026-09-07T18:00:00+08:00,29
2026-09-07T16:05:42.084Z,2026-09-08T00:00:00+08:00,28
2026-09-07T19:53:03.761Z,2026-09-08T03:00:00+08:00,28
2026-09-07T22:18:27.911Z,2026-09-08T06:00:00+08:00,28
2026-09-08T00:28:45.549Z,2026-09-08T08:00:00+08:00,28
2026-09-08T05:00:18.033Z,2026-09-08T12:00:00+08:00,31
2026-09-08T09:26:44.770Z,2026-09-08T17:00:00+08:00,32
2026-09-08T13:45:20.484Z,2026-09-08T21:00:00+08:00,29
2026-09-08T17:32:25.681Z,2026-09-09T01:00:00+08:00,29
2026-09-08T20:10:21.980Z,2026-09-09T04:00:00+08:00,28
2026-09-08T22:37:49.136Z,2026-09-09T06:00:00+08:00,28
2026-09-09T00:33:33.551Z,2026-09-09T08:00:00+08:00,28
2026-09-09T05:06:21.420Z,2026-09-09T13:00:00+08:00,31
2026-09-09T09:37:44.920Z,2026-09-09T17:00:00+08:00,31
2026-09-09T13:52:58.927Z,2026-09-09T21:00:00+08:00,29
2026-09-09T17:21:13.190Z,2026-09-10T01:00:00+08:00,28
2026-09-09T19:51:27.046Z,2026-09-10T03:00:00+08:00,28
2026-09-09T22:00:42.969Z,2026-09-10T05:00:00+08:00,28
2026-09-09T23:57:31.876Z,2026-09-10T07:00:00+08:00,28
2026-09-10T02:58:12.681Z,2026-09-10T10:00:00+08:00,29
2026-09-10T07:53:05.934Z,2026-09-10T15:00:00+08:00,31
2026-09-10T12:23:20.145Z,2026-09-10T20:00:00+08:00,29
2026-09-10T16:32:29.883Z,2026-09-11T00:00:00+08:00,26
2026-09-10T19:12:53.513Z,2026-09-11T03:00:00+08:00,26
2026-09-10T21:37:26.318Z,2026-09-11T05:00:00+08:00,26
2026-09-10T23:22:23.967Z,2026-09-11T07:00:00+08:00,26
2026-09-11T01:13:04.253Z,2026-09-11T09:00:00+08:00,27
2026-09-11T05:59:03.220Z,2026-09-11T13:00:00+08:00,31
2026-09-11T10:44:34.918Z,2026-09-11T18:00:00+08:00,30
2026-09-11T14:38:03.592Z,2026-09-11T22:00:00+08:00,29
2026-09-11T17:52:40.675Z,2026-09-12T01:00:00+08:00,28
2026-09-11T20:05:40.152Z,2026-09-12T04:00:00+08:00,28
2026-09-11T22:29:50.307Z,2026-09-12T06:00:00+08:00,27
2026-09-12T00:29:50.218Z,2026-09-12T08:00:00+08:00,28
2026-09-12T04:53:07.110Z,2026-09-12T12:00:00+08:00,31
2026-09-12T08:53:38.900Z,2026-09-12T16:00:00+08:00,32
2026-09-12T12:26:46.286Z,2026-09-12T20:00:00+08:00,29
